Genus	GQ	Species	SQ	Subspecies	Author	Comment	onButton	abbreviation	HigherTaxon
Lithochytris		triconiscus			(Haeckel) Petrushevskaya		n		Theoperidae
Lithochytris		ventricosa			(Ehrenberg) Petrushevskaya and Kozlova		n		Theoperidae
Lithochytris		vespertilio			Ehrenberg		y	L vespertilio	Theoperidae
Lithocircus		rhombus			Pantanelli		n		Trissocyclidae
Lithocircus		toxaria			(Haeckel) Goll		n		Trissocyclidae
Lithocyclia		angusta			(Riedel)		y	C angusta	Coccodiscidae
Lithocyclia		aristotelis			(Ehrenberg)		y	L aristotelis	Coccodiscidae
Lithocyclia		crux			Moore		y	S crux	Coccodiscidae
Lithocyclia		ocellus			Ehrenberg		y	D ocellus	Coccodiscidae
Lithomelissa		aitai			Hollis		n		others
Lithomelissa		challengerae			Chen		n		Plagiacanthidae
Lithomelissa		cheni			Caulet		n		Plagiacanthidae
Lithomelissa		dupliphysa			Caulet		n		Plagiacanthidae
Lithomelissa		ehrenbergii			Buetschli		n		Plagiacanthidae
Lithomelissa		gelasinus			O'Connor 		n		Plagiacanthidae
Lithomelissa		haeckeli			Buetschli		n		Plagiacanthidae
Lithomelissa		heros			Campbell and Clark		n		others
Lithomelissa		hystrix			Joergensen		n		Plagiacanthidae
Lithomelissa		laticeps			Joergensen		n		Plagiacanthidae
Lithomelissa		maureenae			O'Connor		n		Plagiacanthidae
Lithomelissa		mitra			Butschli		n		Plagiacanthidae
Lithomelissa		pentacantha			(Popofsky) Petrushevskaya		n		Plagiacanthidae
Lithomelissa		robusta			Campbell and Clark		n		Plagiacanthidae
Lithomelissa		setosa			Joergensen 		n		Plagiacanthidae
Lithomelissa		sphaerocephalis			Chen		n		Plagiacanthidae
Lithomelissa		thoracites			Haeckel		n		Plagiacanthidae
Lithomelissa		tricornis			Chen		n		Plagiacanthidae
Lithomelissa		ultima			Caulet 		n		Plagiacanthidae
Lithomelissa?		aitai			Hollis		n		Plagiacanthidae
Lithomespilus		mendosa			(Krasheninnikov)		n		Actinommidae
Lithomitra		micropore			Shilov		n		Artostrobiidae
Lithomitrissa		conica			Vituchin		n		Theoperidae
Lithopera		bacca			Ehrenberg		y	E bacca	Theoperidae
Lithopera		baueri			Sanfilippo 		n		Theoperidae
Lithopera		neotera			Sanfilippo 		y	D neotera	Theoperidae
Lithopera		renzae			Sanfilippo 		y	C renzae	Theoperidae
Lithopera		thornburgi			Sanfilippo 		n		Theoperidae
Lithopilium		reticulatum			Popofsky		n		Plagiacanthidae
Lithopilium		sphaerocephalum			Popofsky		n		Plagiacanthidae
Lithostrobus		cuspidatus			Haeckel		n		Theoperidae
Lithostrobus		erectus			Tan		n		others
Lithostrobus		hexagonalis			Haeckel		n		Theoperidae
Lithostrobus		microporus			(Ehrenberg) Buetschli		n		Theoperidae
Lithostrobus		undulatus			(Popofsky) De Wever et al.		n		Theoperidae
Lithotympanum		tuberosum			Haeckel		n		Trissocyclidae
Lonchosphaera		spicata			Popofsky		n		Actinommidae
Loopus		blabla			Schaaf		n		others
Lophoconus		titanothericeraos			Clark and Campbell		n		Theoperidae
Lophocorys		norvegiensis			(Bjorklund and Kellog) Bjorklund		n		Carpocaniidae
Lophocorys		polyacantha			Popofsky		n		Theoperidae
Lophocyrtis		andriashevi			(Petrushevskaya) Hull		n		Theoperidae
Lophocyrtis		aspera			(Ehrenberg) Sanfilippo and Caulet		n		Theoperidae
Lophocyrtis		brachythorax			(Sanfilippo and Riedel) Sanfilippo		n		Theoperidae
Lophocyrtis		dumitricai			Sanfilippo		n		Theoperidae
Lophocyrtis		exitelus			Sanfilippo		n		others
Lophocyrtis		galenum			Sanfilippo 		n		Theoperidae
Lophocyrtis		hadra			(Riedel and Sanfilippo)		n		Theoperidae
Lophocyrtis		inaequalis			O'Connor		n		Theoperidae
Lophocyrtis		jacchia			(Ehrenberg)		y	L jacchia	Theoperidae
Lophocyrtis		klydus			Sanfilippo and Caulet		n		others
Lophocyrtis		leptetrum			(Sanfilippo and Riedel) Sanfilippo		n		Theoperidae
Lophocyrtis		longiventer			(Chen)		n		Theoperidae
Lophocyrtis		milowi			(Riedel and Sanfilippo)		y	A milowi	Theoperidae
Lophocyrtis		neatum			(Sanfilippo and Riedel) Sanfilippo		n		Theoperidae
Lophocyrtis		nomas			Sanfilippo & Caulet		n		others
Lophocyrtis		oberhaensliae			Sanfilippo & Caulet		y	S oberhaensliae	others
Lophocyrtis		pegetrum			(Sanfilippo and Riedel) Sanfilippo		y	L pegetrum	Theoperidae
Lophocyrtis	(?)	pseudojacchia			Nishimura		n		Theoperidae
Lophocyrtis		semipolita			(Campbell and Clark) Sanfilippo and Caulet		n		Theoperidae
Lophocyrtis		tanythorax			(Sanfilippo and Riedel) Sanfilippo		n		Theoperidae
Lophophaena		apiculata			Ehrenberg		n		others
Lophophaena		buetschlii			(Haeckel) Petrushevskaya		n		Plagiacanthidae
Lophophaena		capito			Ehrenberg		n		Plagiacanthidae
Lophophaena		circumtexta			Haeckel		n		Plagiacanthidae
Lophophaena		clevei			Petrushevskaya 		n		Plagiacanthidae
Lophophaena		cylindrica			(Cleve) Petrushevskaya		n		Plagiacanthidae
Lophophaena		decacantha			Takahashi		n		Plagiacanthidae
Lophophaena		hispida			(Ehrenberg) Petrushevskaya		n		Plagiacanthidae
Lophophaena		macrencephala			Clark and Campbell		n		Plagiacanthidae
Lophophaena		nadezdae			Petrushevskaya 		n		Plagiacanthidae
Lophophaena		polycyrtis			Foreman		n		others
Lophophaena		rioplatensis			Boltovskoy		n		Plagiacanthidae
Lophophaena		tekopua			O'Connor		n		Plagiacanthidae
Lophophaena		thaumasia			Caulet 		n		Plagiacanthidae
Lophophaena		variabilis			(Popofsky) Petrushevskaya		n		Plagiacanthidae
Lophophaena		witjazii			(Petrushevskaya) Van de Paverd		n		Plagiacanthidae
Lophophaenoma		radians			(Ehrenberg)		n		Plagiacanthidae
Lophospyris		cheni			Goll 		n		Trissocyclidae
Lophospyris		pentagona			(Ehrenberg) Petrushevskaya		n		Trissocyclidae
Lychnocanium		carinatum			Ehrenberg		n		Theoperidae
Lychnocanium		conicum			Clark		n		Theoperidae
Lychnocanium		continuum			Ehrenberg		n		others
Lychnocanium		hirundo			Ehrenberg		n		Theoperidae
Lychnocanium		neptunei			O'Connor		n		Theoperidae
Lychnocanium		tridentatum			Ehrenberg		n		others
Lychnocanoma		amphitrite			Foreman		y	G amphitrite	Theoperidae
Lychnocanoma		anacolum			Foreman		n		Theoperidae
Lychnocanoma		apodora			Sanfilippo in Sanfilippo and Nigrini		n		others
Lychnocanoma		auxilla			Foreman		n		Theoperidae
Lychnocanoma		bajunensis			Renz		n		Theoperidae
Lychnocanoma		bellum			(Clark and Campbell)		n		Theoperidae
Lychnocanoma	(?)	costata			Nishimura		n		Theoperidae
Lychnocanoma		elongata			(Vinassa de Regny)		y	D elongata	Theoperidae
Lychnocanoma		grande			Campbell and Clark		y	L grande	Theoperidae
Lychnocanoma		klausi			Kamikuri et al.		n		others
Lychnocanoma		nipponica			Sakai 		n		Theoperidae
Lychnocanoma		parallelipes			Motoyama		n		Theoperidae
Lychnocanoma	(?)	pileus			Nishimura		n		Theoperidae
Lychnocanoma		trifolium			(Riedel and Sanfilippo		n		Theoperidae
Lychnocanoma		tripodium			Ehrenberg		n		others
Lychnocanoma		turgidum			(Ehrenberg)		y	H turgidum	Theoperidae
Lychnosphaera		regina			Haeckel		n		Actinommidae
Mesosaturnalis		dendroacanthos			Squinabol		n		others
Mesosaturnalis		eidalimus			Kozur and Mostler		n		others
Mesosaturnalis		horridus			Squinabol		n		others
Mesosaturnalis		hueyi			Pessagno		n		others
Mesosaturnalis		ichikawai			Kozur and Mostler		n		others
Mesosaturnalis		moorei			Kozur and Mostler		n		others
Mesosaturnalis		preclarus			Kozur and Mostler		n		others
Mesosaturnalis		yaoi			Kozur and Mostler		n		others
Mesovallupus		guadalupensis			Pessagno and MacLeod in Pessagno et al.		n		others
Mictyoditra		columbarium			Dumitrica et al.		n		others
Mictyoditra		thiensis			Tan		n		others
Middourium		regularis			(Borisenko 1958) Kozlova		n		others
Mirifusus		chenodes			Baumgartner		n		others
Mirifusus		fragilis			Baumgartner		n		others
Mirifusus		guadalupensis			Pessagno		n		others
Mirifusus		mediodilatatus			Ruest		n		others
Mita		gracilis			Squinabol		n		others
Mita		regina			Taketani		n		others
Mitrocalpis		araneafera			Popofsky		n		Plagiacanthidae
Myelastrum		quadrifolium			Takahashi		n		Myelastridae
Myelastrum		trinibrachium			Takahashi		n		Myelastridae
Myllocercion		acineton			Foreman		n		others
Myllocercion		minima			Petrushevskaya and Kozlova		n		others
Napora		durhami			De Wever		n		others
Napora		praespinifera			Pessagno		n		others
Napora		pyramidalis			Baumgartner		n		others
Neobotrys		quadrituberosa			Popofsky		n		Cannobotryidae
Neosciadiocapsa		diabloensis			Pessagno		n		others
Neosciadiocapsa		jenkinsi			Pessagno		n		others
Neosemantis		bjoerklundi			Goll		n		Plagiacanthidae
Neosemantis		cladophora			Goll		n		Plagiacanthidae
Neosemantis		distephanus			Goll		n		Plagiacanthidae
Neosemantis		hofferti			Goll 		n		Plagiacanthidae
Nephrospyris		knutheieri			Goll and Bjorklund		n		Trissocyclidae
Nephrospyris		pervia			(Haeckel) Goll and Bjorklund		n		Trissocyclidae
Nephrospyris		renilla			Haeckel		n		Trissocyclidae
Novixitus		mclaughlini			Pessagno		n		others
Novodiacanthocapsa		legumen			Sanfilippo and Riedel		n		others
Novodiacanthocapsa		ovoidea			Empson-Morin		n		others
Obeliscoites		perspicuus			Squinabol		n		others
Obesacapsula		cetia			Foreman		n		others
Obesacapsula		rotunda			Pessagno		n		others
Obesacapsula		somphedia			Foreman		n		others
Obesacapsula		verbana			Parona		n		others
Octodendron		cubocentron			Haeckel		n		Actinommidae
Octopyle		stenozona			Haeckel		n		Pyloniidae
Ommatodiscus		murrayi			Dreyer		n		Spongodiscidae
Ommatogramma		dumitricai			Petrushevskaya 		n		Spongodiscidae
Orbiculiforma		australis			Pessagno		n		others
Orbiculiforma		campbellensis			Pessagno		n		others
Orbiculiforma		chartonae			Schaaf		n		others
Orbiculiforma		multa			Kozlova		n		others
Orbiculiforma		railensis			Pessagno		n		others
Orbiculiforma		renillaeformis			Pessagno		n		others
Orbiculiforma	?	tecta			Tumanda		n		others
Orbula		comitata			Foreman		n		Theoperidae
Orbula		discipulus			Foreman		n		Theoperidae
Orbula		ducalis			Foreman		n		Theoperidae
Orodapis		spongiosa			Friend and Riedel		n		others
Oroscena		carolae			Friend		n		Orosphaeridae
Otosphaera		annikae			Petrushevskaya 		n		Collosphaeridae
Otosphaera		auriculata			Haeckel		n		Collosphaeridae
Otosphaera		tenuissima			Takahashi		n		Collosphaeridae
Pantanellium		riedeli			Pessagno		n		others
Pantanellium		squinaboli		cantuchapai	Pessagno and MacLeod in Pessagno et al.		n		others
Paradictyum		paradoxum			Haeckel		n		Trissocyclidae
Paronaella		diamphidia			Foreman		n		others
Paronaella	(?)	diamphidia			Foreman		n		others
Paronaella	(?)	hipposidericus			Foreman		n		others
Paronaella		mulleri			Pessagno		n		others
Parvicingula		boesii			Parona		n		others
Parvicingula		columna			Ruest		n		others
Parvicingula		cosmoconica			Foreman		n		others
Parvicingula		cribrata			Ishida		n		others
Parvicingula		dhimenaensis			Baumgartner		n		others
Patellula		heroica			O'Dogherty		n		others
Patellula		planoconvexa			Petrushevskaya and Kozlova		n		others
Patulibracchium		petroleumensis			Pessagno		n		others
Patulibracchium		teslaensis			Pessagno		n		others
Patulibracchium		ungulae			Pessagno		n		others
Pentactinosphaera		hokurikuensis			(Nakaseko) Nakaseko		n		Actinommidae
Perichlamydium		limbatum			(Ehrenberg) Ehrenberg		n		Spongodiscidae
Perichlamydium		praetextum			(Ehrenberg) Ehrenberg 		n		Spongodiscidae
Peridium		longispinum			Joergensen		n		Plagiacanthidae
Peridium		spinipes			Haeckel		n		Plagiacanthidae
Periphaena		decora			Ehrenberg		y	L decora	Coccodiscidae
Periphaena		delta			Sanfilippo and Riedel		n		Coccodiscidae
Periphaena		dupla			(Kozlova) Petrushevskaya and Kozlova		n		Coccodiscidae
Periphaena		heliasteriscus			(Clark and Campbell)		n		Coccodiscidae
Periphaena		triactis			(Ehrenberg) Sanfilippo and Riedel		n		Coccodiscidae
Periphaena		tripyramis			(Haeckel)		n		Coccodiscidae
Peripyramis		circumtexta			Haeckel		y	L circumtexta	Theoperidae
Peripyramis		magnifica			(Clark and Campbell)		n		Theoperidae
Perispyridium		ordinarium			Pessagno		n		others
Perispyridium		ordinarium			Pessagno		n		others
Peritiviator	(?)	dumitricai			Nishimura		n		Actinommidae
Peritiviator		labyrinthi			Pessagno		n		others
Peromelissa		phalacra			Haeckel		n		Plagiacanthidae
Petalospyris		bulbosa			Mahapatra and Sharma		n		others
Petalospyris		diaboliscus			Ehrenberg		n		Trissocyclidae
Petalospyris		foveolata			Ehrenberg		n		Trissocyclidae
Petalospyris		pentas			Ehrenberg		n		Trissocyclidae
Phacodiscus		testatus			Kozlova		n		Coccodiscidae
Phacostaurus	(?)	quadratus			Nishimura		n		Coccodiscidae
Phaseliforma		laxa			Pessagno		n		others
Phaseliforma		subcarinata			Pessagno		n		others
Phormacantha		hystrix			(Joergensen) Joergensen		n		Plagiacanthidae
Phormocyrtis		alexandrae			O'Connor		y	S alexandrae	Theoperidae
