Genus	GQ	Species	SQ	Subspecies	Author	HigherTaxon	Comment	onButton	abbreviation
Cystophormis	?	gargantua	 	 	 	Nasselaria		y	Cys gar
Dendrospyris	 	haysi	 	 	 	Nasselaria		y	Den hay
Dendrospyris	 	megalocephalis	 	 	 	Nasselaria		y	Den meg
Dendrospyris	 	rhodospyroides	 	 	 	Nasselaria		y	Den rho
Dendrospyris	?	sakaii	 	 	 	Nasselaria		y	sakai
Dendrospyris	 	stabilis	 	 	 	Nasselaria		n	Den sta
Desmospyris	?	spH	cf D.spongiosa	 	 	Nasselaria		n	Des spH
Desmospyris	 	spongiosa	 	 	 	Nasselaria		y	Des spo
Diartus	 	hughesi	 	 	 	Spumellaria		n	Dia hug
Dictyoceras	 	melitta	 	 	 	Nasselaria		n	Dic mel
Dictyocoryne	 	profunda	 	 	 	Spumellaria		n	Dic pro
Dictyocoryne	 	truncatum	 	 	 	Spumellaria		y	Dic tru
Dictyophimus	 	archipilium	 	 	 	Nasselaria		n	Dic arc
Dictyophimus	 	crisiae	 	 	 	Nasselaria		n	Dic cri
Dictyophimus	 	hirundo	 	 	 	Nasselaria		n	Dic hir
Dictyophimus	 	infabricatus	 	 	 	Nasselaria		n	Dic inf
Dictyophimus	 	macropterus	 	 	 	Nasselaria		n	Dic mac
Dictyophimus	?	planctonis	 	 	 	Nasselaria		y	planctonis
Dictyophimus	 	pocillum	?	 	 	Nasselaria		n	Dic poc
Dictyophimus	 	larus	 	 	 	Nasselaria		n	Dic lar
Dictyophimus	?	kiwi	 	 	 	Nasselaria		n	Dic kiw
Dictyophimus	 	splendens	 	 	 	Nasselaria		n	Dic spl
Didymocyrtis	 	laticonus	 	 	 	Spumellaria		n	Did lat
Didymocyrtis	 	violina	 	 	 	Spumellaria		n	Did vio
Dimelissa	 	thoracites	 	 	 	Nasselaria		n	Dim tho
Dipylissa	 	bensoni	 	 	 	Spumellaria		n	Dip ben
Dorcadospyris		alata				Nasselaria		n	Dor ala
Druppatractus	 	hastatus	 	 	 	Spumellaria		n	Dru has
Druppatractus	 	irregularis	 	 	 	Spumellaria		y	Dru irr
Drymosphaera	?	pseudosagenoscena	 	 	 	Spumellaria		n	Dry pse
Drymyomma	 	elegans	 	 	 	Spumellaria		n	Dry ele
Dumetum		rectum				Nasselaria		n	Dum rec
Echinomma	 	sphaerechinus	 	 	 	Spumellaria		y	Ech sph
Enneaphormis	 	rotula	 	 	 	Nasselaria		n	Enn rot
Enneaphormis	?	spI	 	 	 	Nasselaria		n	Enn spI
Entactinarian	 	spA	 	 	 	Collo/Entact/Phaeo		n	Ent spA
Orodapis	?	ferrealuma	 	 	 	Collo/Entact/Phaeo		n	Oro fer
Eucyrtidiid	 	spH	 	 	 	Nasselaria		n	Euc spH
Eucyrtidium	 	acuminatum	 	 	 	Nasselaria		n	Euc acu
Eucyrtidium	 	calvertense	 	 	 	Nasselaria		y	Euc cal
Eucyrtidium	 	cienkowskii	 	 	 	Nasselaria		y	Euc cie
Eucyrtidium	 	inflatum	 	 	 	Nasselaria		y	Euc inf
Eucyrtidium	 	pseudoinflatum	 	 	 	Nasselaria		y	Euc pse
Eucyrtidium	 	punctatum	 	 	 	Nasselaria		y	Euc pun
Eucyrtidium	 	teuscheri	 	 	 	Nasselaria		n	Euc teu
Eurystomoskevos	 	petrushevskaae	 	 	 	Nasselaria		n	Eur pet
Euscenarium	 	joergenseni	 	 	 	Nasselaria		y	Eus joe
Excentrodiscus		japonicus				Spumellaria		n	Exc jap
Excentrosphaerella	 	sphaeroconcha	 	 	 	Spumellaria		n	Exc sph
Genetrix	 	petrushevskayae	 	 	 	Nasselaria		n	Gen pet
Giraffospyris	 	circumflexa	 	 	 	Nasselaria		n	Gir cir
Gondwanaria	 	campanulaeformis	 	 	 	Nasselaria		n	Gon cam
Gondwanaria	 	cylindrica	 	 	 	Nasselaria		y	Gon cyl
Gondwanaria	 	deflandrei	 	 	 	Nasselaria		y	Gon def
Gondwanaria	 	hister	 	 	 	Nasselaria		n	Gon his
Gondwanaria	 	japonica	 	 	 	Nasselaria		y	Gon jap
Gondwanaria	 	nigriniae	 	 	 	Nasselaria		n	Gon nig
Gondwanaria	 	reschetnjakae	 	 	 	Nasselaria		n	Gon res
Gondwanaria	 	clarae	 	 	 	Nasselaria		n	Gon cla
Gonosphaera	 	primordialis	 	 	 	Collo/Entact/Phaeo		n	Gon pri
Gorgospyris	 	quinquespine	 	 	 	Nasselaria		n	Gor qui
Haeckeliella	 	inconstans	 	 	 	Spumellaria		n	Hae inc
Haliometta	 	miocenica	 	 	 	Spumellaria		n	Hal mio
Haliomma	 	macrodoras	 	 	 	Spumellaria		n	Hal mac
Heliodiscus		asteriscus				Spumellaria		n	Hel ast
Helisoma	 	dispar	 	 	 	Spumellaria		n	Hel dis
Helotholus	 	haysi	 	 	 	Nasselaria		y	Hel hay
Helotholus	 	praevema	 	 	 	Nasselaria		y	Hel pra
Helotholus	 	vema	 	 	 	Nasselaria		y	Hel vem
Hexacontium	 	enthacanthum	 	 	 	Spumellaria		y	Hex ent
Hexacontium	 	laevigatum	 	 	 	Spumellaria		n	Hex lae
Hexacontium	 	pachydermum	 	 	 	Spumellaria		y	Hex pac
Hexacontium	 	spA	 	 	 	Spumellaria		n	Hex spA
Hexalonche	 	aristarchi	 	 	 	Spumellaria		n	Hex ari
Hexalonche	 	philosophica	 	 	 	Spumellaria		y	Hex phi
Hexalonche	 	spB	cf H.esmarki	 	 	Spumellaria		y	Hex spB
Hexalonche	 	spG	aff H.philosophica	 	 	Spumellaria		y	Hex spG
Hexalonche	?	spJ	 	 	 	Spumellaria		n	Hex spJ
Hexapyle	 	dodecantha	 	 	 	Spumellaria		y	Hex dod
Hexastylus	 	triaxonius	 	 	 	Spumellaria		n	Hex tri
Inversumbrella		sp15				Nasselaria		n	Inv sp1
Joergensenium	 	appolo	 	 	 	Spumellaria		y	Joe app
Lamprocyclas	 	aegles	 	 	 	Nasselaria		n	Lam aeg
Lamprocyclas	 	hannai	 	 	 	Nasselaria		n	Lam han
Lamprocyclas	 	maritalis	 	 	 	Nasselaria		n	Lam mar
Lamprocyclas	?	spE	 	 	 	Nasselaria		n	Lam spE
Lamprocyrtis	 	heteroporos	 	 	 	Nasselaria		n	Lam het
Lampromitra	 	dodecaster	 	 	 	Nasselaria		n	Lam dod
Lampromitra	 	huxleyi	 	 	 	Nasselaria		n	Lam hux
Lampromitra	 	quadricuspis	 	 	 	Nasselaria		y	Lam qua
